,FTA-INV,FTA-INS,FTA-SWP,FTA-INB,FTA-ML,GA-INV,GA-INS,GA-SWP,GA-INB,GA-ML,SA-INV,SA-INS,SA-SWP,SA-INB,SA-ML,PSO-INV,PSO-INS,PSO-SWP,PSO-INB,PSO-ML,SS-INV,SS-INS,SS-SWP,SS-INB,SS-ML,NEH,NEH-B,BS-AM,BS-GDEL,BS-IO,BS-LACC,BS-NA,BS-SA,RL-AM,RL-GDEL,RL-IO,RL-LACC,RL-NA,RL-SA,RPD-AM,RPD-GDEL,RPD-IO,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-IO,SR-LACC,SR-NA,SR-SA,BSHH,QLHH
320_80_2,0.0959,0.1084,0.0886,0.0674,0.0761,0.1016,0.1118,0.0981,0.0779,0.0866,0.0917,0.1054,0.0849,0.0637,0.0715,0.0916,0.1029,0.0871,0.0625,0.0735,0.0909,0.0987,0.0780,0.0610,0.0746,0.1231,0.0693,0.1100,0.0786,0.0746,0.1028,0.1179,0.0678,0.1127,0.0499,0.0444,0.0995,0.1130,0.0433,0.1021,0.1030,0.0332,0.0897,0.1031,0.0723,0.1171,0.0552,0.0564,0.1022,0.1140,0.0544,0.1005,0.0729
320_80_3,0.0942,0.1076,0.0817,0.0608,0.0751,0.1003,0.1106,0.0982,0.0755,0.0915,0.0918,0.1025,0.0854,0.0602,0.0714,0.0866,0.1028,0.0797,0.0600,0.0714,0.0885,0.0970,0.0757,0.0582,0.0716,0.1280,0.0621,0.1182,0.0852,0.0587,0.0990,0.1169,0.0640,0.1141,0.0477,0.0393,0.0976,0.1135,0.0400,0.1036,0.1050,0.0316,0.0873,0.1057,0.0734,0.1161,0.0553,0.0578,0.1017,0.1150,0.0513,0.1020,0.0734
320_80_4,0.0817,0.0934,0.0776,0.0500,0.0654,0.0874,0.0959,0.0909,0.0655,0.0786,0.0766,0.0904,0.0754,0.0489,0.0622,0.0787,0.0886,0.0738,0.0460,0.0547,0.0759,0.0848,0.0655,0.0462,0.0597,0.1132,0.0596,0.1064,0.0574,0.0528,0.0925,0.1038,0.0476,0.1017,0.0375,0.0308,0.0864,0.1013,0.0327,0.0884,0.0920,0.0241,0.0765,0.0922,0.0567,0.1036,0.0390,0.0426,0.0906,0.1029,0.0406,0.0879,0.0630
320_80_5,0.0808,0.0914,0.0752,0.0483,0.0594,0.0851,0.0970,0.0820,0.0595,0.0830,0.0761,0.0916,0.0714,0.0456,0.0550,0.0754,0.0891,0.0754,0.0445,0.0576,0.0754,0.0832,0.0638,0.0420,0.0530,0.1100,0.0502,0.1026,0.0743,0.0493,0.0936,0.0938,0.0533,0.0999,0.0357,0.0275,0.0851,0.0993,0.0286,0.0905,0.0897,0.0173,0.0750,0.0920,0.0599,0.1030,0.0395,0.0420,0.0891,0.0992,0.0412,0.0873,0.0586
320_80_6,0.0892,0.1034,0.0832,0.0579,0.0711,0.0961,0.1064,0.0916,0.0705,0.0877,0.0854,0.0967,0.0781,0.0544,0.0622,0.0879,0.0956,0.0798,0.0563,0.0663,0.0857,0.0928,0.0730,0.0527,0.0640,0.1203,0.0715,0.1083,0.0701,0.0643,0.0989,0.1137,0.0534,0.1080,0.0421,0.0363,0.0946,0.1078,0.0335,0.0981,0.0984,0.0230,0.0827,0.0999,0.0741,0.1118,0.0529,0.0542,0.0975,0.1111,0.0472,0.0968,0.0696
320_80_7,0.0828,0.0966,0.0763,0.0590,0.0699,0.0912,0.1035,0.0895,0.0688,0.0846,0.0815,0.0959,0.0794,0.0541,0.0636,0.0803,0.0933,0.0724,0.0558,0.0592,0.0788,0.0874,0.0669,0.0514,0.0615,0.1216,0.0682,0.1082,0.0623,0.0563,0.0928,0.1072,0.0605,0.1056,0.0400,0.0337,0.0883,0.1060,0.0331,0.0973,0.0970,0.0175,0.0800,0.0965,0.0659,0.1086,0.0460,0.0487,0.0924,0.1071,0.0473,0.0933,0.0672
320_80_8,0.0848,0.0974,0.0840,0.0590,0.0679,0.0895,0.1047,0.0884,0.0699,0.0890,0.0832,0.0964,0.0779,0.0552,0.0631,0.0820,0.0930,0.0786,0.0582,0.0605,0.0782,0.0888,0.0710,0.0523,0.0638,0.1182,0.0668,0.1063,0.0603,0.0587,0.0934,0.1085,0.0508,0.1032,0.0384,0.0355,0.0881,0.1028,0.0313,0.0919,0.0940,0.0253,0.0794,0.0940,0.0675,0.1054,0.0457,0.0469,0.0923,0.1036,0.0457,0.0924,0.0653
320_80_9,0.0956,0.1138,0.0928,0.0727,0.0823,0.1038,0.1131,0.0983,0.0792,0.0968,0.0964,0.1102,0.0902,0.0731,0.0758,0.0939,0.1056,0.0870,0.0688,0.0758,0.0929,0.0991,0.0804,0.0671,0.0752,0.1279,0.0680,0.1154,0.0896,0.0588,0.1105,0.1151,0.0691,0.1158,0.0470,0.0455,0.1013,0.1156,0.0437,0.1046,0.1057,0.0301,0.0926,0.1061,0.0765,0.1179,0.0583,0.0520,0.1052,0.1157,0.0580,0.1045,0.0761
320_80_10,0.0898,0.1043,0.0828,0.0545,0.0694,0.0968,0.1098,0.0921,0.0731,0.0903,0.0875,0.0985,0.0824,0.0537,0.0675,0.0882,0.1013,0.0802,0.0504,0.0619,0.0862,0.0951,0.0715,0.0516,0.0578,0.1261,0.0717,0.1178,0.0762,0.0670,0.0978,0.1105,0.0645,0.1120,0.0486,0.0374,0.0953,0.1118,0.0347,0.1003,0.1030,0.0245,0.0854,0.1027,0.0632,0.1139,0.0515,0.0522,0.0993,0.1117,0.0498,0.0984,0.0703
average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
