,SPS-FTA-INB,SPS-GA-INB,SPS-SA-INB,SPS-PSO-INB,SPS-SS-INB,FTA-INV,FTA-INS,FTA-SWP,GA-INV,GA-INS,GA-SWP,SA-INV,SA-INS,SA-SWP,PSO-INV,PSO-INS,PSO-SWP,SS-INV,SS-INS,SS-SWP,BS-AM,BS-GDEL,BS-LACC,BS-NA,BS-SA,RPD-AM,RPD-GDEL,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-LACC,SR-NA,SR-AG:APSA,FTA-ML,GA-ML,SA-ML,PSO-ML,SS-ML,BS-HH,QL-HH,NEH,NEH-B
250_250_9,0.0413,0.0536,0.0380,0.0345,0.0344,0.0482,0.0582,0.0471,0.0608,0.0743,0.0578,0.0458,0.0549,0.0436,0.0466,0.0562,0.0472,0.0508,0.0569,0.0462,0.0862,0.0423,0.0612,0.0889,0.0357,0.0741,0.0729,0.0581,0.0736,0.0336,0.0873,0.0287,0.0702,0.0868,0.0311,0.0423,0.0684,0.0420,0.0347,0.0424,0.0696,0.0472,0.1084,0.0337
250_250_10,0.0308,0.0555,0.0246,0.0184,0.0256,0.0446,0.0476,0.0348,0.0564,0.0630,0.0562,0.0423,0.0473,0.0383,0.0419,0.0475,0.0333,0.0440,0.0466,0.0343,0.0772,0.0403,0.0552,0.0747,0.0295,0.0568,0.0581,0.0441,0.0597,0.0263,0.0733,0.0213,0.0564,0.0716,0.0207,0.0329,0.0564,0.0302,0.0264,0.0322,0.0570,0.0355,0.1001,0.0169
400_100_1,0.0389,0.0537,0.0372,0.0405,0.0343,0.0644,0.0755,0.0683,0.0680,0.0780,0.0703,0.0657,0.0753,0.0668,0.0619,0.0697,0.0635,0.0620,0.0702,0.0580,0.0739,0.0569,0.0707,0.0779,0.0465,0.0674,0.0664,0.0602,0.0696,0.0610,0.0783,0.0411,0.0698,0.0780,0.0396,0.0579,0.0669,0.0581,0.0481,0.0522,0.0699,0.0562,0.0868,0.0288
400_100_2,0.0246,0.0396,0.0248,0.0247,0.0253,0.0506,0.0623,0.0489,0.0538,0.0637,0.0568,0.0463,0.0610,0.0469,0.0489,0.0580,0.0473,0.0455,0.0582,0.0418,0.0612,0.0395,0.0546,0.0650,0.0344,0.0539,0.0556,0.0461,0.0570,0.0425,0.0648,0.0257,0.0536,0.0642,0.0243,0.0413,0.0560,0.0384,0.0305,0.0398,0.0575,0.0420,0.0755,0.0125
400_100_3,0.0409,0.0560,0.0330,0.0376,0.0325,0.0617,0.0694,0.0614,0.0661,0.0721,0.0679,0.0598,0.0695,0.0593,0.0555,0.0605,0.0535,0.0571,0.0661,0.0527,0.0721,0.0513,0.0592,0.0765,0.0422,0.0642,0.0652,0.0566,0.0667,0.0572,0.0740,0.0382,0.0651,0.0744,0.0343,0.0528,0.0633,0.0488,0.0386,0.0506,0.0668,0.0534,0.0820,0.0125
400_100_4,0.0380,0.0557,0.0411,0.0391,0.0349,0.0679,0.0798,0.0701,0.0725,0.0822,0.0746,0.0633,0.0793,0.0689,0.0645,0.0712,0.0645,0.0625,0.0753,0.0619,0.0807,0.0492,0.0725,0.0796,0.0480,0.0718,0.0714,0.0624,0.0734,0.0583,0.0825,0.0425,0.0716,0.0812,0.0429,0.0616,0.0672,0.0617,0.0494,0.0530,0.0736,0.0572,0.0908,0.0351
400_100_5,0.0360,0.0496,0.0329,0.0323,0.0325,0.0651,0.0727,0.0653,0.0692,0.0745,0.0703,0.0645,0.0714,0.0619,0.0584,0.0691,0.0646,0.0605,0.0698,0.0570,0.0776,0.0489,0.0693,0.0756,0.0467,0.0673,0.0665,0.0580,0.0685,0.0553,0.0766,0.0329,0.0661,0.0765,0.0358,0.0532,0.0595,0.0462,0.0412,0.0508,0.0687,0.0550,0.0837,0.0163
400_100_6,0.0309,0.0513,0.0297,0.0312,0.0268,0.0482,0.0663,0.0525,0.0565,0.0693,0.0618,0.0484,0.0616,0.0463,0.0452,0.0586,0.0519,0.0470,0.0623,0.0419,0.0671,0.0401,0.0546,0.0724,0.0264,0.0592,0.0601,0.0489,0.0614,0.0489,0.0688,0.0254,0.0565,0.0698,0.0263,0.0433,0.0557,0.0440,0.0380,0.0395,0.0615,0.0455,0.0817,0.0058
400_100_7,0.0407,0.0552,0.0372,0.0386,0.0365,0.0630,0.0734,0.0649,0.0684,0.0764,0.0663,0.0626,0.0719,0.0614,0.0571,0.0620,0.0581,0.0587,0.0681,0.0565,0.0774,0.0550,0.0584,0.0741,0.0423,0.0688,0.0666,0.0584,0.0702,0.0566,0.0774,0.0387,0.0660,0.0766,0.0376,0.0571,0.0655,0.0563,0.0473,0.0529,0.0696,0.0552,0.0879,0.0205
400_100_8,0.0471,0.0555,0.0410,0.0447,0.0393,0.0690,0.0802,0.0697,0.0725,0.0810,0.0750,0.0667,0.0790,0.0683,0.0661,0.0750,0.0657,0.0620,0.0752,0.0600,0.0832,0.0522,0.0728,0.0820,0.0507,0.0722,0.0736,0.0636,0.0748,0.0573,0.0834,0.0446,0.0724,0.0830,0.0458,0.0651,0.0691,0.0576,0.0484,0.0547,0.0756,0.0595,0.0925,0.0193
400_100_9,0.0261,0.0458,0.0265,0.0338,0.0248,0.0470,0.0610,0.0494,0.0552,0.0654,0.0610,0.0448,0.0582,0.0474,0.0460,0.0595,0.0457,0.0452,0.0584,0.0430,0.0668,0.0387,0.0586,0.0656,0.0324,0.0577,0.0577,0.0473,0.0611,0.0435,0.0666,0.0314,0.0548,0.0662,0.0252,0.0437,0.0510,0.0330,0.0382,0.0390,0.0596,0.0433,0.0803,0.0063
400_100_10,0.0357,0.0458,0.0282,0.0352,0.0279,0.0528,0.0668,0.0563,0.0596,0.0691,0.0626,0.0517,0.0660,0.0538,0.0484,0.0606,0.0527,0.0492,0.0600,0.0493,0.0710,0.0448,0.0604,0.0688,0.0388,0.0624,0.0619,0.0510,0.0649,0.0469,0.0718,0.0283,0.0589,0.0704,0.0287,0.0524,0.0571,0.0443,0.0384,0.0463,0.0637,0.0487,0.0803,0.0188
