,SPS-FTA-INB,SPS-GA-INB,SPS-SA-INB,SPS-PSO-INB,SPS-SS-INB,FTA-INV,FTA-INS,FTA-SWP,GA-INV,GA-INS,GA-SWP,SA-INV,SA-INS,SA-SWP,PSO-INV,PSO-INS,PSO-SWP,SS-INV,SS-INS,SS-SWP,BS-AM,BS-GDEL,BS-LACC,BS-NA,BS-SA,RPD-AM,RPD-GDEL,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-LACC,SR-NA,SR-SA,FTA-ML,GA-ML,SA-ML,PSO-ML,SS-ML,BS-HH,QL-HH,NEH,NEH-B
60_240_1,0.0246,0.0428,0.0181,0.0228,0.0238,0.0423,0.0457,0.0461,0.053,0.06,0.0584,0.0399,0.0402,0.036,0.0372,0.0381,0.0383,0.0441,0.0469,0.0421,0.073,0.0421,0.064,0.0739,0.0313,0.0651,0.0644,0.0533,0.0642,0.034,0.0723,0.0248,0.0593,0.0718,0.0253,0.0371,0.054,0.0297,0.0325,0.0341,0.0589,0.0436,0.0926,0.0842
60_240_2,0.0256,0.0548,0.0222,0.019,0.0254,0.0532,0.0511,0.0566,0.0693,0.0694,0.0726,0.0493,0.0457,0.0419,0.0512,0.0444,0.0486,0.0533,0.059,0.0514,0.0881,0.0426,0.0746,0.0875,0.0447,0.0793,0.08,0.0624,0.0795,0.043,0.089,0.0331,0.0729,0.0859,0.0342,0.0451,0.0671,0.0382,0.0413,0.0367,0.0747,0.054,0.1101,0.1192
60_240_3,0.0402,0.063,0.0435,0.0364,0.0403,0.0602,0.0626,0.0554,0.0709,0.082,0.0773,0.0574,0.0533,0.0541,0.0559,0.0499,0.0606,0.0613,0.061,0.0619,0.0916,0.0574,0.0802,0.0928,0.046,0.082,0.0826,0.0685,0.0842,0.0488,0.0923,0.0369,0.08,0.0901,0.0372,0.0516,0.0709,0.0427,0.0447,0.0531,0.0766,0.0619,0.1164,0.1099
60_240_4,0.0334,0.0498,0.0276,0.0342,0.0329,0.0459,0.0522,0.0529,0.0583,0.0674,0.0612,0.0425,0.0458,0.0462,0.04,0.0443,0.0481,0.0467,0.05,0.0489,0.0763,0.035,0.0676,0.0757,0.0347,0.0676,0.068,0.056,0.0675,0.0398,0.076,0.0329,0.0641,0.0747,0.0293,0.0437,0.0621,0.0429,0.0391,0.0415,0.0628,0.0504,0.0988,0.086
60_240_5,0.0347,0.0484,0.0286,0.0285,0.0331,0.0513,0.0536,0.0549,0.0624,0.0744,0.0682,0.046,0.0444,0.0497,0.0465,0.046,0.0495,0.0521,0.0571,0.0523,0.0847,0.0494,0.076,0.0854,0.0417,0.0778,0.0769,0.0635,0.0775,0.0402,0.0846,0.0367,0.0731,0.0847,0.0341,0.0462,0.0656,0.0415,0.0436,0.0429,0.0726,0.0562,0.1085,0.095
60_240_6,0.0353,0.0533,0.0351,0.0375,0.0318,0.0442,0.0471,0.05,0.0575,0.0695,0.0661,0.045,0.0415,0.0475,0.0413,0.0348,0.0441,0.0465,0.0466,0.0462,0.0819,0.0475,0.0709,0.0811,0.0355,0.07,0.0708,0.0558,0.0727,0.0362,0.0797,0.0259,0.0669,0.0788,0.0251,0.046,0.0572,0.0357,0.0388,0.0427,0.0655,0.0483,0.101,0.072
60_240_7,0.0376,0.0527,0.0326,0.0327,0.0388,0.0527,0.0475,0.0563,0.0647,0.0774,0.0711,0.0507,0.0464,0.0538,0.0486,0.0433,0.05,0.0561,0.0573,0.053,0.0854,0.0524,0.0728,0.0892,0.0417,0.0792,0.0787,0.065,0.0802,0.0451,0.0866,0.0327,0.0727,0.0847,0.0351,0.0517,0.0678,0.0408,0.04,0.0463,0.0733,0.0569,0.111,0.0884
60_240_8,0.0384,0.0543,0.0348,0.0334,0.0389,0.0565,0.0532,0.0562,0.0653,0.0768,0.0732,0.0471,0.0438,0.0555,0.0491,0.0508,0.0486,0.0536,0.0592,0.0529,0.0905,0.0457,0.0796,0.0911,0.0377,0.0803,0.0816,0.0674,0.0816,0.0442,0.0883,0.0332,0.0749,0.0878,0.0335,0.0512,0.0722,0.0414,0.0438,0.0489,0.0755,0.0565,0.1087,0.1139
60_240_9,0.0274,0.0495,0.0234,0.0273,0.0292,0.0504,0.0581,0.054,0.0663,0.0761,0.0731,0.0482,0.0471,0.0522,0.0488,0.0484,0.0482,0.0554,0.0557,0.0539,0.0883,0.052,0.073,0.0901,0.0418,0.0761,0.0777,0.0619,0.0775,0.0413,0.0879,0.0365,0.0734,0.0853,0.0348,0.0433,0.0666,0.039,0.0368,0.0436,0.0734,0.0545,0.1066,0.0834
60_240_10,0.0366,0.0602,0.0353,0.0289,0.04,0.0593,0.0575,0.0594,0.0702,0.0829,0.0757,0.0547,0.0634,0.0584,0.0541,0.0506,0.0557,0.0589,0.0631,0.0586,0.0889,0.0448,0.0762,0.0929,0.0459,0.0802,0.0804,0.0679,0.0797,0.0475,0.0893,0.04,0.0753,0.0876,0.0397,0.0537,0.0708,0.0465,0.0456,0.0495,0.0756,0.0584,0.1087,0.0902
