,SPS-FTA-INB,SPS-GA-INB,SPS-SA-INB,SPS-PSO-INB,SPS-SS-INB,FTA-INV,FTA-INS,FTA-SWP,GA-INV,GA-INS,GA-SWP,SA-INV,SA-INS,SA-SWP,PSO-INV,PSO-INS,PSO-SWP,SS-INV,SS-INS,SS-SWP,BS-AM,BS-GDEL,BS-LACC,BS-NA,BS-SA,RPD-AM,RPD-GDEL,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-LACC,SR-NA,SR-SA,FTA-ML,GA-ML,SA-ML,PSO-ML,SS-ML,BS-HH,QL-HH,NEH,NEH-B
150_150_1,0.0317,0.0506,0.0259,0.0233,0.0218,0.073,0.0811,0.0643,0.0849,0.092,0.0794,0.072,0.0838,0.0556,0.0711,0.0759,0.0586,0.0746,0.0791,0.0588,0.1055,0.0902,0.0876,0.1082,0.0653,0.0917,0.0924,0.0708,0.0919,0.0522,0.1024,0.0542,0.0894,0.1026,0.0614,0.0485,0.0836,0.0472,0.0439,0.0441,0.0911,0.0578,0.1111,0.0397
150_150_2,0.0275,0.054,0.0266,0.0287,0.0192,0.0796,0.0819,0.0701,0.0893,0.0954,0.0859,0.0772,0.078,0.0594,0.074,0.0797,0.063,0.0787,0.0804,0.0584,0.1023,0.0742,0.0837,0.1067,0.0691,0.0892,0.092,0.0703,0.0909,0.0585,0.1053,0.0522,0.0941,0.1035,0.0598,0.0492,0.0784,0.0477,0.0494,0.0409,0.0948,0.0509,0.1186,0.0487
150_150_3,0.0228,0.0448,0.0274,0.0248,0.0162,0.0765,0.0813,0.063,0.085,0.0949,0.0765,0.0715,0.0787,0.0618,0.071,0.0742,0.0532,0.073,0.0789,0.0498,0.1026,0.0593,0.0796,0.1038,0.0622,0.0887,0.089,0.0693,0.0893,0.0473,0.1003,0.0489,0.0886,0.0994,0.0545,0.0576,0.0714,0.0435,0.0382,0.0358,0.0868,0.0499,0.1099,0.0387
150_150_4,0.0471,0.0733,0.044,0.0461,0.0381,0.0917,0.0954,0.0859,0.1039,0.112,0.0904,0.0926,0.0955,0.0769,0.0894,0.0864,0.0739,0.0918,0.0954,0.0692,0.1237,0.0913,0.1028,0.1224,0.0921,0.1061,0.1081,0.0885,0.1071,0.0699,0.121,0.0751,0.1082,0.1206,0.0757,0.0642,0.0997,0.0626,0.0568,0.0569,0.108,0.068,0.1319,0.0828
150_150_5,0.0414,0.069,0.0365,0.0298,0.0311,0.086,0.0878,0.0767,0.0972,0.1031,0.0936,0.083,0.0879,0.0669,0.0861,0.0847,0.0619,0.0861,0.0862,0.0679,0.1215,0.0828,0.0993,0.1167,0.0823,0.1024,0.1042,0.0839,0.104,0.0673,0.1162,0.0664,0.103,0.115,0.0681,0.0575,0.0884,0.0553,0.0539,0.0531,0.103,0.0688,0.129,0.0632
150_150_6,0.0311,0.0547,0.0257,0.0316,0.0233,0.0811,0.0844,0.064,0.092,0.0935,0.091,0.0772,0.0806,0.0633,0.0781,0.0815,0.054,0.0775,0.0818,0.0601,0.1083,0.0782,0.0856,0.1073,0.0708,0.0948,0.0929,0.0755,0.0938,0.0607,0.1067,0.0598,0.0932,0.1058,0.06,0.0557,0.0741,0.0472,0.0579,0.0499,0.095,0.0548,0.1164,0.0494
150_150_7,0.033,0.0474,0.0275,0.0259,0.0212,0.0756,0.0772,0.0614,0.0835,0.0904,0.0829,0.0722,0.0765,0.0537,0.0715,0.0706,0.0512,0.0736,0.0739,0.0557,0.1042,0.07,0.0872,0.0986,0.0585,0.0879,0.0912,0.0699,0.0896,0.0454,0.1016,0.0597,0.0885,0.0993,0.0556,0.0502,0.0815,0.0406,0.0459,0.0402,0.0896,0.0553,0.1121,0.0382
150_150_8,0.0298,0.0558,0.0204,0.0224,0.0173,0.076,0.0794,0.0647,0.0857,0.0905,0.0836,0.0725,0.0796,0.0553,0.0753,0.0801,0.0637,0.076,0.078,0.0569,0.0942,0.0788,0.0871,0.1031,0.0719,0.0889,0.0874,0.0706,0.0876,0.0533,0.1018,0.0554,0.09,0.0997,0.0614,0.0472,0.0805,0.0413,0.0422,0.043,0.0897,0.0539,0.1121,0.0644
150_150_9,0.0444,0.0734,0.0391,0.0397,0.0351,0.0956,0.0975,0.0799,0.1065,0.1145,0.1006,0.0902,0.0903,0.0804,0.0943,0.0929,0.0717,0.0915,0.0969,0.0727,0.1252,0.0971,0.1096,0.1258,0.0846,0.1099,0.1111,0.0922,0.1126,0.0684,0.1246,0.0807,0.1103,0.1231,0.0807,0.0681,0.0909,0.059,0.0604,0.056,0.1116,0.0734,0.1337,0.0739
150_150_10,0.0316,0.0545,0.0269,0.0287,0.0229,0.0829,0.0895,0.0743,0.0937,0.0997,0.091,0.0781,0.0867,0.073,0.079,0.073,0.0634,0.0833,0.0845,0.0566,0.11,0.0829,0.0876,0.1118,0.0618,0.0919,0.0939,0.0773,0.0947,0.0539,0.1097,0.0587,0.0966,0.1075,0.0601,0.0512,0.0805,0.0535,0.0463,0.0373,0.0967,0.0585,0.121,0.0666
240_60_1,0.0324,0.0372,0.0245,0.0288,0.0252,0.0489,0.0608,0.0436,0.0571,0.0709,0.0508,0.0492,0.0586,0.0402,0.0491,0.0503,0.043,0.0479,0.0558,0.0368,0.0731,0.0271,0.0593,0.0727,0.0276,0.0617,0.0625,0.0479,0.0624,0.0313,0.0756,0.0195,0.0614,0.0755,0.0172,0.0371,0.0531,0.039,0.0338,0.0326,0.0595,0.0315,0.0866,0.0334
240_60_2,0.0367,0.0474,0.0351,0.034,0.0319,0.056,0.0674,0.0417,0.063,0.0783,0.0595,0.055,0.0581,0.0441,0.0511,0.0513,0.0417,0.0526,0.0584,0.0402,0.0832,0.0354,0.0609,0.0852,0.0275,0.0701,0.0724,0.0556,0.0703,0.0424,0.0837,0.0265,0.0669,0.0836,0.0256,0.0447,0.0622,0.0417,0.0381,0.0402,0.067,0.0401,0.0974,0.0408
240_60_3,0.038,0.0436,0.0356,0.0334,0.0322,0.0578,0.065,0.051,0.0609,0.0693,0.0571,0.0558,0.0639,0.0511,0.0529,0.0583,0.0475,0.0531,0.0606,0.0444,0.0766,0.0322,0.0621,0.0746,0.0283,0.0626,0.0624,0.0513,0.0619,0.0403,0.0753,0.0251,0.0623,0.0732,0.0231,0.0457,0.0553,0.0381,0.041,0.0371,0.059,0.0356,0.0879,0.0382
240_60_4,0.0298,0.0348,0.0291,0.0262,0.0249,0.0527,0.0641,0.043,0.0583,0.0657,0.0531,0.0533,0.0589,0.0429,0.047,0.0584,0.0373,0.0496,0.058,0.0377,0.0746,0.036,0.0582,0.0692,0.0243,0.0598,0.0588,0.0476,0.0608,0.0362,0.0727,0.0208,0.0597,0.0688,0.0158,0.0385,0.0505,0.0388,0.0318,0.034,0.0571,0.0319,0.0835,0.0348
240_60_5,0.0316,0.0368,0.029,0.0308,0.0284,0.0466,0.0524,0.0365,0.0529,0.0658,0.0463,0.0436,0.0535,0.0426,0.0414,0.053,0.032,0.0439,0.0506,0.0302,0.0731,0.0292,0.0535,0.0707,0.0242,0.0583,0.0583,0.0458,0.0579,0.0342,0.0704,0.014,0.0565,0.0686,0.0146,0.0336,0.0504,0.034,0.0312,0.031,0.0546,0.0307,0.0865,0.0315
240_60_6,0.0303,0.0363,0.0275,0.0266,0.0235,0.0489,0.0552,0.0418,0.055,0.0625,0.0516,0.0471,0.0514,0.04,0.0451,0.0474,0.0363,0.0473,0.0524,0.036,0.0713,0.0292,0.0554,0.0741,0.0236,0.0591,0.0605,0.0464,0.0613,0.0376,0.0726,0.0204,0.0571,0.0711,0.0185,0.0418,0.0523,0.037,0.0347,0.0317,0.0559,0.0337,0.0889,0.038
240_60_7,0.0311,0.0384,0.0292,0.0299,0.0271,0.049,0.0592,0.0427,0.0576,0.0673,0.0475,0.044,0.0546,0.037,0.0485,0.0487,0.0332,0.0446,0.0548,0.0329,0.0712,0.0278,0.0548,0.0726,0.0266,0.06,0.0621,0.0461,0.0601,0.0375,0.0729,0.0182,0.0569,0.0719,0.0169,0.0396,0.0456,0.0349,0.0331,0.0328,0.0582,0.0324,0.0834,0.0326
240_60_8,0.0246,0.0291,0.021,0.0216,0.0203,0.0497,0.0565,0.04,0.0538,0.0618,0.0491,0.0471,0.0546,0.0343,0.0461,0.0512,0.0358,0.0464,0.0529,0.0318,0.0666,0.0384,0.0592,0.0715,0.0263,0.0558,0.0581,0.0422,0.0571,0.0393,0.0703,0.0138,0.0553,0.0689,0.0114,0.032,0.0502,0.0327,0.0294,0.0269,0.0543,0.0276,0.0808,0.0259
240_60_9,0.0321,0.0367,0.0271,0.0269,0.0254,0.0502,0.0566,0.0413,0.0574,0.066,0.0521,0.0486,0.0565,0.0369,0.0484,0.0574,0.0445,0.0485,0.0552,0.0359,0.0745,0.037,0.0563,0.0736,0.0205,0.0618,0.0614,0.0492,0.0615,0.0394,0.0741,0.019,0.0613,0.0718,0.0164,0.0387,0.059,0.0369,0.0326,0.0321,0.0595,0.0319,0.0847,0.034
240_60_10,0.0294,0.0379,0.0277,0.0254,0.0252,0.0451,0.0567,0.0383,0.0531,0.0657,0.0441,0.0427,0.0534,0.0357,0.0418,0.0487,0.0337,0.0415,0.0473,0.0329,0.0735,0.0222,0.0598,0.0661,0.0171,0.0583,0.0577,0.0424,0.0563,0.0357,0.0688,0.0154,0.0532,0.0672,0.0147,0.0362,0.0451,0.0331,0.0317,0.0295,0.0514,0.029,0.0824,0.0343
