,FTA-INV,FTA-INS,FTA-SWP,FTA-INB,FTA-ML,GA-INV,GA-INS,GA-SWP,GA-INB,GA-ML,SA-INV,SA-INS,SA-SWP,SA-INB,SA-ML,PSO-INV,PSO-INS,PSO-SWP,PSO-INB,PSO-ML,SS-INV,SS-INS,SS-SWP,SS-INB,SS-ML,NEH,NEH-B,BS-AM,BS-GDEL,BS-IO,BS-LACC,BS-NA,BS-SA,RL-AM,RL-GDEL,RL-IO,RL-LACC,RL-NA,RL-SA,RPD-AM,RPD-GDEL,RPD-IO,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-IO,SR-LACC,SR-NA,SR-SA,BSHH,QLHH
40_160_1,0.0833,0.0837,0.0831,0.0633,0.0755,0.0998,0.1068,0.1038,0.0899,0.0933,0.0797,0.0785,0.0789,0.0633,0.0676,0.0826,0.0776,0.0845,0.0721,0.0702,0.0886,0.0858,0.0839,0.0641,0.0791,0.1368,0.1237,0.1217,0.0896,0.0846,0.1135,0.1191,0.0842,0.1165,0.0366,0.0289,0.1025,0.1168,0.0303,0.1151,0.1140,0.0360,0.1010,0.1141,0.0682,0.1210,0.0718,0.0685,0.1102,0.1195,0.0721,0.1071,0.0847
40_160_2,0.0929,0.0842,0.0828,0.0750,0.0805,0.0994,0.1077,0.0978,0.0891,0.0959,0.0887,0.0841,0.0809,0.0751,0.0782,0.0855,0.0810,0.0826,0.0750,0.0811,0.0873,0.0903,0.0813,0.0742,0.0805,0.1388,0.1139,0.1244,0.0854,0.0878,0.1066,0.1218,0.0874,0.1182,0.0446,0.0487,0.0991,0.1168,0.0448,0.1151,0.1164,0.0500,0.0972,0.1153,0.0750,0.1247,0.0729,0.0745,0.1069,0.1228,0.0738,0.1056,0.0885
40_160_3,0.1014,0.0894,0.0871,0.0851,0.0895,0.1076,0.1079,0.1024,0.0963,0.1020,0.0949,0.0896,0.0785,0.0836,0.0821,0.0981,0.0898,0.0810,0.0867,0.0865,0.0985,0.0949,0.0931,0.0831,0.0892,0.1392,0.1154,0.1262,0.0942,0.0855,0.1126,0.1272,0.0880,0.1226,0.0671,0.0627,0.1078,0.1228,0.0613,0.1187,0.1201,0.0551,0.1059,0.1190,0.0793,0.1268,0.0817,0.0838,0.1148,0.1269,0.0835,0.1105,0.0967
40_160_4,0.0966,0.0886,0.0854,0.0807,0.0850,0.1049,0.1084,0.1002,0.0914,0.1072,0.0916,0.0836,0.0874,0.0827,0.0751,0.0899,0.0790,0.0760,0.0849,0.0764,0.0917,0.0921,0.0839,0.0784,0.0844,0.1378,0.1187,0.1267,0.0946,0.0877,0.1163,0.1266,0.0891,0.1216,0.0490,0.0535,0.1042,0.1239,0.0458,0.1193,0.1189,0.0521,0.1026,0.1190,0.0804,0.1278,0.0777,0.0779,0.1131,0.1274,0.0740,0.1118,0.0953
40_160_5,0.0742,0.0670,0.0615,0.0565,0.0640,0.0840,0.0910,0.0814,0.0728,0.0806,0.0687,0.0629,0.0622,0.0565,0.0592,0.0695,0.0565,0.0610,0.0574,0.0592,0.0727,0.0726,0.0656,0.0568,0.0619,0.1135,0.1021,0.1089,0.0732,0.0672,0.0913,0.1069,0.0638,0.1046,0.0346,0.0300,0.0875,0.1021,0.0316,0.1000,0.1011,0.0309,0.0834,0.1008,0.0536,0.1087,0.0563,0.0531,0.0955,0.1062,0.0559,0.0921,0.0705
40_160_6,0.0951,0.0958,0.0974,0.0711,0.0842,0.1110,0.1191,0.1157,0.0953,0.1162,0.0960,0.0921,0.0909,0.0709,0.0809,0.0948,0.0846,0.0784,0.0727,0.0827,0.1005,0.1025,0.0910,0.0708,0.0855,0.1517,0.1296,0.1343,0.0981,0.1008,0.1231,0.1379,0.0933,0.1280,0.0355,0.0377,0.1102,0.1280,0.0313,0.1262,0.1246,0.0399,0.1089,0.1255,0.0718,0.1334,0.0759,0.0760,0.1204,0.1351,0.0673,0.1215,0.0937
40_160_7,0.0945,0.0880,0.0804,0.0680,0.0816,0.1125,0.1142,0.1069,0.0935,0.1061,0.0939,0.0868,0.0902,0.0693,0.0752,0.0933,0.0823,0.0821,0.0688,0.0784,0.0975,0.0998,0.0880,0.0680,0.0805,0.1338,0.1209,0.1277,0.0931,0.0931,0.1140,0.1265,0.1070,0.1236,0.0410,0.0443,0.1055,0.1233,0.0517,0.1177,0.1201,0.0520,0.1028,0.1184,0.0731,0.1279,0.0850,0.0738,0.1158,0.1285,0.0755,0.1156,0.0941
40_160_8,0.0832,0.0767,0.0682,0.0581,0.0662,0.0957,0.1014,0.0931,0.0795,0.0983,0.0824,0.0661,0.0667,0.0558,0.0581,0.0805,0.0658,0.0679,0.0567,0.0593,0.0863,0.0829,0.0717,0.0578,0.0710,0.1323,0.1119,0.1189,0.0818,0.0638,0.1085,0.1190,0.0752,0.1169,0.0447,0.0329,0.0981,0.1148,0.0305,0.1130,0.1119,0.0352,0.0956,0.1124,0.0601,0.1214,0.0612,0.0639,0.1060,0.1200,0.0657,0.1043,0.0799
40_160_9,0.0880,0.0821,0.0775,0.0594,0.0710,0.1016,0.0987,0.0941,0.0782,0.0973,0.0880,0.0741,0.0729,0.0608,0.0704,0.0820,0.0762,0.0671,0.0658,0.0665,0.0869,0.0865,0.0768,0.0610,0.0725,0.1361,0.1159,0.1242,0.0876,0.0739,0.1040,0.1244,0.0812,0.1175,0.0405,0.0358,0.0984,0.1177,0.0338,0.1112,0.1117,0.0521,0.0960,0.1115,0.0627,0.1226,0.0680,0.0674,0.1087,0.1218,0.0669,0.1068,0.0792
40_160_10,0.0919,0.0887,0.0886,0.0781,0.0831,0.1036,0.1101,0.0996,0.0945,0.1006,0.0878,0.0827,0.0799,0.0786,0.0766,0.0894,0.0792,0.0810,0.0793,0.0742,0.0911,0.0903,0.0842,0.0776,0.0830,0.1378,0.1056,0.1271,0.1004,0.0956,0.1070,0.1244,0.0866,0.1193,0.0495,0.0403,0.1023,0.1186,0.0446,0.1167,0.1148,0.0530,0.0992,0.1170,0.0734,0.1234,0.0802,0.0743,0.1092,0.1239,0.0807,0.1072,0.0900
