,FTA-INV,FTA-INS,FTA-SWP,FTA-INB,FTA-ML,GA-INV,GA-INS,GA-SWP,GA-INB,GA-ML,SA-INV,SA-INS,SA-SWP,SA-INB,SA-ML,PSO-INV,PSO-INS,PSO-SWP,PSO-INB,PSO-ML,SS-INV,SS-INS,SS-SWP,SS-INB,SS-ML,NEH,NEH-B,BS-AM,BS-GDEL,BS-IO,BS-LACC,BS-NA,BS-SA,RL-AM,RL-GDEL,RL-IO,RL-LACC,RL-NA,RL-SA,RPD-AM,RPD-GDEL,RPD-IO,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-IO,SR-LACC,SR-NA,SR-SA,BSHH,QLHH
100_100_1,0.0411,0.0436,0.0317,0.0147,0.0258,0.0492,0.0535,0.0464,0.0264,0.0494,0.0398,0.0430,0.0315,0.0135,0.0258,0.0394,0.0422,0.0275,0.0148,0.0256,0.0413,0.0413,0.0289,0.0122,0.0208,0.0760,0.0311,0.0693,0.0482,0.0380,0.0588,0.0644,0.0328,0.0628,0.0182,0.0120,0.0478,0.0619,0.0104,0.0502,0.0516,0.0144,0.0417,0.0525,0.0288,0.0701,0.0302,0.0284,0.0569,0.0663,0.0266,0.0546,0.0325
100_100_2,0.0451,0.0496,0.0368,0.0227,0.0360,0.0545,0.0602,0.0469,0.0384,0.0521,0.0438,0.0460,0.0354,0.0220,0.0354,0.0446,0.0477,0.0344,0.0228,0.0317,0.0444,0.0450,0.0341,0.0193,0.0258,0.0809,0.0200,0.0686,0.0441,0.0457,0.0557,0.0691,0.0500,0.0646,0.0178,0.0186,0.0509,0.0650,0.0153,0.0550,0.0557,0.0172,0.0469,0.0558,0.0384,0.0697,0.0305,0.0312,0.0585,0.0681,0.0302,0.0571,0.0340
100_100_3,0.0432,0.0433,0.0333,0.0212,0.0324,0.0506,0.0579,0.0435,0.0312,0.0512,0.0424,0.0420,0.0349,0.0207,0.0300,0.0413,0.0396,0.0312,0.0196,0.0319,0.0431,0.0434,0.0316,0.0161,0.0249,0.0808,0.0435,0.0711,0.0528,0.0488,0.0548,0.0738,0.0439,0.0634,0.0161,0.0155,0.0487,0.0624,0.0130,0.0520,0.0527,0.0161,0.0434,0.0551,0.0293,0.0692,0.0301,0.0328,0.0574,0.0687,0.0315,0.0550,0.0335
100_100_4,0.0399,0.0437,0.0317,0.0176,0.0282,0.0482,0.0542,0.0401,0.0412,0.0462,0.0387,0.0393,0.0297,0.0208,0.0304,0.0370,0.0394,0.0290,0.0194,0.0252,0.0379,0.0415,0.0300,0.0179,0.0263,0.0741,0.0325,0.0619,0.0497,0.0403,0.0499,0.0668,0.0386,0.0615,0.0144,0.0117,0.0472,0.0604,0.0109,0.0534,0.0541,0.0132,0.0411,0.0519,0.0289,0.0670,0.0261,0.0257,0.0548,0.0660,0.0294,0.0526,0.0324
100_100_5,0.0418,0.0448,0.0337,0.0212,0.0328,0.0522,0.0527,0.0428,0.0338,0.0469,0.0392,0.0439,0.0327,0.0203,0.0249,0.0409,0.0435,0.0315,0.0220,0.0274,0.0419,0.0423,0.0322,0.0180,0.0236,0.0757,0.0412,0.0650,0.0418,0.0354,0.0561,0.0669,0.0302,0.0602,0.0183,0.0134,0.0473,0.0596,0.0124,0.0533,0.0506,0.0143,0.0418,0.0507,0.0308,0.0664,0.0276,0.0276,0.0551,0.0648,0.0332,0.0525,0.0324
100_100_6,0.0470,0.0485,0.0377,0.0226,0.0322,0.0553,0.0618,0.0461,0.0273,0.0509,0.0433,0.0467,0.0355,0.0194,0.0343,0.0439,0.0494,0.0345,0.0222,0.0311,0.0444,0.0455,0.0341,0.0173,0.0292,0.0820,0.0310,0.0785,0.0426,0.0408,0.0631,0.0613,0.0408,0.0661,0.0186,0.0198,0.0515,0.0639,0.0164,0.0556,0.0565,0.0188,0.0457,0.0575,0.0364,0.0738,0.0327,0.0335,0.0597,0.0719,0.0336,0.0570,0.0372
100_100_7,0.0461,0.0483,0.0370,0.0221,0.0366,0.0521,0.0579,0.0446,0.0355,0.0432,0.0433,0.0467,0.0327,0.0230,0.0298,0.0444,0.0431,0.0380,0.0255,0.0274,0.0431,0.0443,0.0330,0.0186,0.0273,0.0769,0.0268,0.0709,0.0420,0.0379,0.0516,0.0695,0.0397,0.0638,0.0204,0.0146,0.0507,0.0631,0.0123,0.0556,0.0569,0.0165,0.0462,0.0565,0.0302,0.0681,0.0287,0.0288,0.0580,0.0682,0.0327,0.0559,0.0339
100_100_8,0.0427,0.0444,0.0325,0.0226,0.0333,0.0506,0.0567,0.0452,0.0341,0.0501,0.0402,0.0428,0.0314,0.0232,0.0299,0.0357,0.0402,0.0290,0.0236,0.0272,0.0406,0.0431,0.0310,0.0214,0.0264,0.0769,0.0419,0.0713,0.0371,0.0413,0.0645,0.0688,0.0424,0.0633,0.0136,0.0152,0.0492,0.0629,0.0125,0.0550,0.0534,0.0160,0.0451,0.0540,0.0281,0.0705,0.0333,0.0302,0.0578,0.0680,0.0333,0.0557,0.0361
100_100_9,0.0382,0.0416,0.0319,0.0157,0.0327,0.0450,0.0544,0.0427,0.0292,0.0426,0.0375,0.0413,0.0284,0.0170,0.0240,0.0372,0.0400,0.0312,0.0172,0.0279,0.0374,0.0387,0.0297,0.0151,0.0248,0.0732,0.0359,0.0640,0.0304,0.0343,0.0512,0.0674,0.0322,0.0586,0.0136,0.0129,0.0452,0.0575,0.0104,0.0484,0.0502,0.0121,0.0397,0.0499,0.0278,0.0659,0.0266,0.0264,0.0518,0.0614,0.0254,0.0508,0.0283
100_100_10,0.0496,0.0505,0.0403,0.0268,0.0346,0.0540,0.0616,0.0503,0.0352,0.0511,0.0462,0.0499,0.0400,0.0215,0.0351,0.0480,0.0480,0.0371,0.0279,0.0314,0.0465,0.0486,0.0366,0.0222,0.0301,0.0805,0.0409,0.0792,0.0411,0.0530,0.0617,0.0722,0.0453,0.0684,0.0216,0.0202,0.0525,0.0673,0.0158,0.0568,0.0575,0.0202,0.0471,0.0574,0.0370,0.0766,0.0324,0.0349,0.0611,0.0708,0.0353,0.0600,0.0363
160_40_1,0.0572,0.0558,0.0547,0.0377,0.0488,0.0600,0.0631,0.0584,0.0498,0.0573,0.0535,0.0547,0.0529,0.0376,0.0457,0.0560,0.0540,0.0487,0.0364,0.0440,0.0527,0.0543,0.0463,0.0345,0.0437,0.0854,0.0545,0.0751,0.0362,0.0392,0.0589,0.0752,0.0375,0.0703,0.0223,0.0153,0.0590,0.0708,0.0138,0.0652,0.0659,0.0149,0.0549,0.0644,0.0451,0.0743,0.0276,0.0282,0.0643,0.0734,0.0273,0.0592,0.0423
160_40_2,0.0532,0.0533,0.0484,0.0389,0.0459,0.0542,0.0562,0.0509,0.0440,0.0535,0.0494,0.0515,0.0473,0.0394,0.0451,0.0516,0.0520,0.0486,0.0377,0.0431,0.0498,0.0508,0.0450,0.0360,0.0410,0.0722,0.0404,0.0633,0.0408,0.0362,0.0530,0.0618,0.0367,0.0594,0.0215,0.0203,0.0503,0.0587,0.0173,0.0555,0.0560,0.0186,0.0478,0.0556,0.0412,0.0625,0.0306,0.0305,0.0541,0.0617,0.0306,0.0503,0.0384
160_40_3,0.0711,0.0712,0.0654,0.0617,0.0660,0.0729,0.0747,0.0679,0.0680,0.0702,0.0674,0.0700,0.0622,0.0595,0.0594,0.0690,0.0675,0.0640,0.0609,0.0633,0.0662,0.0668,0.0601,0.0583,0.0610,0.0965,0.0725,0.0845,0.0600,0.0537,0.0748,0.0834,0.0531,0.0809,0.0299,0.0292,0.0698,0.0810,0.0323,0.0794,0.0790,0.0286,0.0678,0.0783,0.0616,0.0842,0.0429,0.0446,0.0753,0.0829,0.0404,0.0714,0.0571
160_40_4,0.0586,0.0567,0.0519,0.0467,0.0499,0.0605,0.0656,0.0567,0.0506,0.0564,0.0569,0.0555,0.0514,0.0457,0.0466,0.0577,0.0572,0.0525,0.0459,0.0500,0.0550,0.0554,0.0490,0.0428,0.0478,0.0813,0.0496,0.0727,0.0407,0.0416,0.0648,0.0725,0.0417,0.0686,0.0248,0.0214,0.0578,0.0683,0.0187,0.0645,0.0654,0.0198,0.0558,0.0641,0.0495,0.0714,0.0347,0.0301,0.0629,0.0706,0.0323,0.0579,0.0424
160_40_5,0.0580,0.0560,0.0515,0.0465,0.0507,0.0599,0.0627,0.0568,0.0512,0.0558,0.0567,0.0535,0.0517,0.0448,0.0466,0.0534,0.0549,0.0494,0.0452,0.0491,0.0543,0.0548,0.0471,0.0417,0.0478,0.0837,0.0482,0.0725,0.0440,0.0421,0.0625,0.0711,0.0367,0.0683,0.0182,0.0157,0.0575,0.0675,0.0158,0.0660,0.0665,0.0151,0.0547,0.0656,0.0481,0.0717,0.0325,0.0304,0.0614,0.0712,0.0301,0.0560,0.0409
160_40_6,0.0498,0.0527,0.0464,0.0416,0.0450,0.0516,0.0559,0.0504,0.0445,0.0507,0.0494,0.0507,0.0455,0.0402,0.0413,0.0505,0.0476,0.0436,0.0398,0.0431,0.0466,0.0478,0.0415,0.0375,0.0415,0.0747,0.0411,0.0621,0.0372,0.0354,0.0549,0.0631,0.0297,0.0595,0.0179,0.0139,0.0491,0.0582,0.0171,0.0574,0.0565,0.0137,0.0473,0.0557,0.0404,0.0622,0.0266,0.0262,0.0538,0.0615,0.0238,0.0503,0.0364
160_40_7,0.0552,0.0551,0.0521,0.0453,0.0491,0.0566,0.0608,0.0547,0.0506,0.0560,0.0532,0.0536,0.0509,0.0449,0.0472,0.0526,0.0532,0.0520,0.0453,0.0462,0.0515,0.0532,0.0481,0.0419,0.0441,0.0737,0.0417,0.0662,0.0411,0.0366,0.0568,0.0663,0.0402,0.0633,0.0238,0.0234,0.0549,0.0633,0.0209,0.0609,0.0623,0.0205,0.0529,0.0617,0.0465,0.0651,0.0310,0.0307,0.0582,0.0647,0.0312,0.0533,0.0395
160_40_8,0.0640,0.0630,0.0617,0.0553,0.0595,0.0682,0.0739,0.0670,0.0603,0.0680,0.0615,0.0618,0.0548,0.0536,0.0597,0.0610,0.0609,0.0604,0.0558,0.0547,0.0606,0.0621,0.0547,0.0511,0.0564,0.0942,0.0631,0.0816,0.0522,0.0458,0.0723,0.0813,0.0478,0.0793,0.0261,0.0200,0.0665,0.0779,0.0193,0.0771,0.0768,0.0183,0.0657,0.0762,0.0532,0.0825,0.0422,0.0386,0.0723,0.0813,0.0371,0.0685,0.0511
160_40_9,0.0517,0.0522,0.0480,0.0381,0.0451,0.0528,0.0562,0.0508,0.0423,0.0494,0.0515,0.0503,0.0472,0.0373,0.0429,0.0483,0.0519,0.0477,0.0373,0.0412,0.0484,0.0509,0.0433,0.0349,0.0417,0.0715,0.0396,0.0618,0.0357,0.0353,0.0540,0.0604,0.0356,0.0587,0.0170,0.0150,0.0503,0.0591,0.0180,0.0534,0.0543,0.0161,0.0470,0.0541,0.0413,0.0615,0.0276,0.0271,0.0532,0.0611,0.0275,0.0510,0.0358
160_40_10,0.0505,0.0533,0.0491,0.0407,0.0461,0.0549,0.0570,0.0514,0.0465,0.0486,0.0506,0.0517,0.0462,0.0396,0.0443,0.0478,0.0509,0.0448,0.0390,0.0423,0.0488,0.0507,0.0451,0.0354,0.0403,0.0740,0.0428,0.0628,0.0426,0.0335,0.0533,0.0654,0.0341,0.0614,0.0186,0.0185,0.0510,0.0611,0.0160,0.0577,0.0574,0.0157,0.0493,0.0578,0.0395,0.0648,0.0269,0.0299,0.0542,0.0635,0.0287,0.0511,0.0364
average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
