,FTA-INV,SA-INV,SS-INV,PSO-INV,GA-INV,FTA-INS,SA-INS,SS-INS,PSO-INS,GA-INS,FTA-SWP,SA-SWP,SS-SWP,PSO-SWP,GA-SWP,APS-FTA-INB,APS-SA-INB,APS-SS-INB,APS-PSO-INB,APS-GA-INB,FTA-ML,SA-ML,SS-ML,PSO-ML,GA-ML,NEH,NEH-B
40_160_1,6.2808,5.9214,6.7978,6.2051,7.8936,6.3140,5.8047,6.5277,5.7225,8.5846,6.2584,5.8446,6.3382,6.3993,8.2854,4.3199,4.3117,4.3900,5.1777,6.9296,5.5083,4.7341,5.8672,4.9920,7.2553,10.1752,9.4988
40_160_2,5.2970,4.8916,4.7584,4.5855,5.9240,4.4613,4.4523,5.0508,4.1494,6.7191,4.3234,4.1391,4.1770,4.3084,5.7697,3.5769,3.5863,3.4943,3.5689,4.9294,4.1055,3.8789,4.1035,4.1574,5.5823,10.0034,7.2229
40_160_3,5.2745,4.6525,4.9984,4.9627,5.8663,4.1265,4.1438,4.6508,4.1695,5.8990,3.9072,3.0907,4.4779,3.3217,5.3696,3.7170,3.5735,3.5298,3.8703,4.7897,4.1395,3.4349,4.1129,3.8540,5.3289,9.7629,6.0908
40_160_4,6.2214,5.7458,5.7529,5.5801,7.0343,5.4498,4.9635,5.7862,4.5224,7.3731,5.1399,5.3317,4.9992,4.2300,6.5722,4.6837,4.8837,4.4661,5.0963,5.7233,5.1012,4.1406,5.0419,4.2681,7.2553,11.4848,8.3106
40_160_5,6.9267,6.3843,6.7754,6.4605,7.9011,6.2092,5.8035,6.7716,5.1621,8.6003,5.6657,5.7324,6.0681,5.6099,7.6432,5.1654,5.1667,5.1962,5.2537,6.7845,5.9125,5.4343,5.7057,5.4391,7.5666,10.6738,8.5641
40_160_6,6.9427,7.0218,7.4703,6.9084,8.4881,7.0108,6.6441,7.6586,5.9128,9.2834,7.1640,6.5284,6.5402,5.3061,8.9473,4.5904,4.5728,4.5673,4.7550,6.9579,5.8719,5.5527,6.0024,5.7310,8.9977,12.1289,10.0223
40_160_7,4.9815,4.9190,5.2644,4.8595,6.7067,4.3560,4.2398,5.4839,3.8097,6.8720,3.6219,4.5648,4.3574,3.7932,6.1668,2.4381,2.5660,2.4371,2.5171,4.8832,3.7457,3.1304,3.6328,3.4360,6.0939,11.0160,7.0442
40_160_8,6.3136,6.2271,6.6135,6.0443,7.5332,5.6680,4.6347,6.2830,4.6005,8.0976,4.8353,4.6884,5.1786,4.8054,7.2767,3.8471,3.6201,3.8163,3.7080,5.9463,4.6366,3.8429,5.1089,3.9599,7.7900,12.5123,8.6188
40_160_9,6.0499,6.0456,5.9369,5.4607,7.3737,5.4734,4.6938,5.8998,4.8944,7.0901,5.0238,4.5706,4.9600,4.0132,6.6418,3.2594,3.3928,3.4147,3.8835,5.0931,4.3919,4.3291,4.5358,3.9548,6.9530,11.8947,7.9891
40_160_10,6.4752,6.0725,6.3966,6.2278,7.6150,6.1565,5.5763,6.3214,5.2343,8.2502,6.1563,5.3028,5.7203,5.4067,7.2238,5.1271,5.1716,5.0804,5.2410,6.7233,5.6160,4.9780,5.6032,4.7465,7.3193,11.6260,8.2691
100_100_1,3.5934,3.4658,3.6129,3.4274,4.4031,3.8395,3.7820,3.6103,3.7026,4.8284,2.6611,2.6359,2.3780,2.2362,4.1190,0.9649,0.8489,0.7223,0.9787,2.1345,2.0743,2.0662,1.5781,2.0470,4.4184,5.0958,3.4055
100_100_2,3.1329,3.0103,3.0641,3.0870,4.0672,3.5811,3.2228,3.1239,3.3924,4.6245,2.3154,2.1810,2.0536,2.0767,3.3132,0.9307,0.8592,0.5907,0.9327,2.4760,2.2403,2.1749,1.2308,1.8099,3.8280,1.9704,1.0098
100_100_3,3.5923,3.5159,3.5902,3.4063,4.3351,3.6035,3.4788,3.6167,3.2359,5.0614,2.6121,2.7732,2.4463,2.4039,3.6242,1.4166,1.3645,0.9032,1.2547,2.4096,2.5285,2.2862,1.7755,2.4748,4.3946,8.9750,3.6982
100_100_4,3.2211,3.1076,3.0225,2.9386,4.0429,3.5985,3.1672,3.3824,3.1737,4.6450,2.4066,2.2113,2.2387,2.1369,3.2452,1.0130,1.3309,1.0431,1.1825,3.3563,2.0630,2.2750,1.8684,1.7659,3.8462,4.5196,2.6853
100_100_5,3.8595,3.5931,3.8681,3.7694,4.8904,4.1561,4.0628,3.9032,4.0300,4.9404,3.0476,2.9500,2.8945,2.8341,3.9568,1.8063,1.7176,1.4824,1.8787,3.0619,2.9555,2.1751,2.0424,2.4257,4.3691,3.3653,3.1590
100_100_6,4.2457,3.8825,3.9864,3.9439,5.0694,4.3937,4.2193,4.1007,4.4842,5.7203,3.3206,3.0999,2.9632,3.0026,4.1577,1.8209,1.4986,1.2901,1.7741,2.2890,2.7777,2.9832,2.4726,2.6671,4.6316,4.6771,2.7769
100_100_7,3.4616,3.1864,3.1632,3.2914,4.0496,3.6723,3.5219,3.2767,3.1646,4.6241,2.5615,2.1368,2.1643,2.6591,3.3063,1.0825,1.1740,0.7421,1.4189,2.4071,2.5197,1.8426,1.6013,1.6109,3.1769,3.9181,1.5365
100_100_8,2.8666,2.6179,2.6515,2.1738,3.6391,3.0263,2.8700,2.9023,2.6118,4.2411,1.8574,1.7476,1.7056,1.5088,3.1121,0.8785,0.9387,0.7586,0.9806,2.0186,1.9397,1.5959,1.2575,1.3381,3.5892,4.7800,2.6801
100_100_9,3.3870,3.3134,3.3087,3.2889,4.0579,3.7236,3.6971,3.4374,3.5612,4.9997,2.7514,2.4102,2.5394,2.6867,3.8315,1.1401,1.2756,1.0828,1.2895,2.4921,2.8396,1.9707,2.0448,2.3601,3.8237,1.7307,2.5835
100_100_10,3.7252,3.3883,3.4227,3.5716,4.1684,3.8141,3.7566,3.6343,3.5715,4.9182,2.8135,2.7813,2.4451,2.4919,3.8007,1.4722,0.9510,1.0171,1.5822,2.3051,2.2500,2.2932,1.8014,1.9290,3.8805,5.4947,2.7525
