,FTA-INV,SA-INV,SS-INV,PSO-INV,GA-INV,FTA-INS,SA-INS,SS-INS,PSO-INS,GA-INS,FTA-SWP,SA-SWP,SS-SWP,PSO-SWP,GA-SWP,APS-FTA-INB,APS-SA-INB,APS-SS-INB,APS-PSO-INB,APS-GA-INB,FTA-ML,SA-ML,SS-ML,PSO-ML,GA-ML,NEH,NEH-B
160_40_1,3.1417,2.7852,2.7030,3.0262,3.4202,3.0062,2.8989,2.8629,2.8354,3.7227,2.8987,2.7237,2.0765,2.3144,3.2638,1.2370,1.2291,0.9306,1.1104,2.4232,2.3197,2.0223,1.8235,1.8533,3.1539,2.5434,3.1167
160_40_2,2.4017,2.0270,2.0644,2.2468,2.4991,2.4088,2.2306,2.1688,2.2784,2.6914,1.9264,1.8239,1.6014,1.9542,2.1749,1.0099,1.0521,0.7277,0.8905,1.5016,1.6905,1.6086,1.2076,1.4157,2.4231,1.4038,1.5261
160_40_3,2.7064,2.3512,2.2418,2.5067,2.8820,2.7173,2.6042,2.2981,2.3605,3.0511,2.1629,1.8543,1.6513,2.0273,2.4033,1.8095,1.6011,1.4844,1.7337,2.4162,2.2194,1.5885,1.7372,1.9595,2.6217,0.0000,2.6260
160_40_4,2.7013,2.5367,2.3532,2.6156,2.8868,2.5217,2.4037,2.3926,2.5641,3.3797,2.0535,2.0010,1.7685,2.1101,2.5233,1.5485,1.4479,1.1742,1.4697,1.9234,1.8589,1.5365,1.6543,1.8714,2.4935,1.9555,2.3212
160_40_5,2.3786,2.2586,2.0223,1.9339,2.5599,2.1873,1.9396,2.0662,2.0786,2.8331,1.7536,1.7705,1.3267,1.5452,2.2660,1.2683,1.1006,0.8014,1.1451,1.7205,1.6700,1.2792,1.3882,1.5156,2.1688,1.1746,2.0043
160_40_6,2.2106,2.1658,1.8985,2.2723,2.3805,2.4888,2.2945,2.0137,1.9896,2.8041,1.8739,1.7843,1.3970,1.5995,2.2665,1.4064,1.2683,1.0106,1.2322,1.6857,1.7421,1.3760,1.3993,1.5567,2.2896,0.0000,1.5344
160_40_7,2.5706,2.3826,2.2173,2.3166,2.7104,2.5631,2.4133,2.3817,2.3801,3.1144,2.2754,2.1557,1.8838,2.2619,2.5275,1.6109,1.5691,1.2767,1.6116,2.1275,1.9756,1.7927,1.4933,1.6962,2.6536,0.0000,1.6076
160_40_8,2.8420,2.5937,2.5122,2.5505,3.2437,2.7447,2.6278,2.6525,2.5396,3.7990,2.6212,1.9527,1.9389,2.4943,3.1306,1.9949,1.8360,1.5935,2.0456,2.4854,2.4051,2.4226,2.1097,1.9441,3.2235,2.1667,3.0132
160_40_9,2.3381,2.3218,2.0218,2.0046,2.4432,2.3911,2.2067,2.2638,2.3628,2.7798,1.9800,1.8972,1.5249,1.9535,2.2487,1.0166,0.9357,0.7082,0.9413,1.4199,1.6946,1.4788,1.3643,1.3204,2.1178,2.3604,1.4380
160_40_10,2.2642,2.2800,2.1052,2.0074,2.6917,2.5397,2.3813,2.2857,2.3012,2.8995,2.1251,1.8450,1.7367,1.7153,2.3571,1.3107,1.2004,0.7925,1.1475,1.8747,1.8372,1.6662,1.2779,1.4708,2.0810,0.2795,1.7365
