,SPS-FTA-INB,SPS-SA-INB,SPS-SS-INB,FTA-INS,FTA-INV,FTA-SWP,SA-INS,SA-INV,SA-SWP,SS-INS,SS-INV,SS-SWP,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
40_160_1,20.74,20.48,56.71,20.88,20.88,20.75,20.57,20.31,20.19,57.19,56.87,56.82,16.49,17.01,53.43,27.04,21.92
40_160_2,21.04,20.74,57.29,20.49,20.6,20.24,20.39,20.45,20.29,57.19,56.61,56.41,16.5,16.66,53.08,27.45,21.67
40_160_3,20.52,20.58,57.08,20.33,20.35,20.4,20.5,20.25,20.46,56.39,57.11,56.89,16.69,16.47,52.92,27.86,21.76
40_160_4,20.5,20.42,56.91,20.34,20.21,20.05,20.53,20.31,20.28,56.78,56.31,57.14,16.48,16.63,53.85,27.52,22.06
40_160_5,20.46,20.35,56.45,20.47,20.29,20.43,20.44,20.31,20.39,56.97,57.13,56.39,16.87,16.44,53.24,27.46,21.73
40_160_6,20.34,20.39,56.94,20.34,20.25,20.33,20.43,20.33,20.42,56.92,57.06,57.18,16.5,16.49,52.99,27.49,21.65
40_160_7,20.53,20.34,57.02,20.3,20.55,20.29,20.4,20.47,20.17,56.46,57.01,56.74,16.47,17.25,54.01,27.37,21.71
40_160_8,20.5,20.27,57.13,20.72,20.78,20.71,20.38,20.5,20.39,56.78,56.88,56.62,16.99,16.48,53.27,27.26,21.81
40_160_9,20.43,20.56,56.91,20.76,20.55,20.27,20.47,20.37,20.43,56.7,56.31,56.5,16.68,16.51,53.37,27.62,22.04
40_160_10,20.81,20.63,56.94,20.7,20.14,20.48,20.14,20.51,20.35,57.28,56.65,56.68,16.47,16.43,53.03,27.32,21.78
100_100_1,21.13,20.81,56.71,20.75,20.53,20.55,20.25,20.36,20.16,56.75,56.74,56.79,16.71,16.87,52.83,27.29,21.85
100_100_2,20.88,21.74,56.95,20.46,20.84,20.5,20.29,20.81,20.4,56.74,56.89,56.53,16.56,17.07,52.82,27.34,21.39
100_100_3,20.39,21.87,56.93,20.82,20.48,20.53,20.4,20.47,20.18,56.89,57.32,56.94,16.62,16.54,53.19,27.69,21.5
100_100_4,20.4,20.89,57.25,20.74,20.3,20.4,20.39,20.4,20.42,56.87,56.6,56.56,16.6,16.52,53.09,27.16,21.53
100_100_5,20.38,21.87,56.73,20.69,20.22,20.1,20.49,20.37,20.44,56.68,56.81,56.75,16.7,16.97,53.24,27.44,21.59
100_100_6,20.37,21.45,57.18,20.26,20.52,20.28,20.59,20.54,20.16,57.05,56.5,56.37,16.67,16.69,52.85,27.26,21.96
100_100_7,20.48,21.76,57.42,20.61,20.11,20.31,20.11,20.52,20.01,56.9,57.2,56.68,17.03,16.63,53.13,27.2,22.06
100_100_8,20.48,21.2,57.11,20.28,20.33,20.33,20.41,20.42,20.48,56.82,56.8,56.44,16.7,16.99,53.49,27.22,22.11
100_100_9,20.47,21.87,56.71,20.13,20.36,20.2,20.37,20.51,20.3,56.5,57.26,56.71,16.95,16.64,53.05,27,21.57
100_100_10,20.61,20.77,56.7,20.61,20.29,20.65,20.48,20.42,20.05,56.91,57.65,57.03,16.73,16.77,53.57,27.43,21.84
160_40_1,20.94,20.45,56.67,20.59,20.72,20.68,20.54,20.37,20.48,56.53,56.69,57.48,16.44,16.46,53.4,26.88,21.99
160_40_2,20.41,21.16,56.83,20.65,20.38,20.56,20.38,20.38,20.5,56.79,56.8,57.14,17.11,16.46,53.23,27.62,21.85
160_40_3,20.22,20.77,56.84,20.63,20.46,20.25,20.37,20.43,20.08,56.8,56.8,56.73,16.64,16.45,53.16,27.23,21.76
160_40_4,20.18,22.8,56.84,20.23,20.49,20.33,20.62,20.55,20.31,56.7,56.95,56.87,16.86,16.76,52.71,27.16,21.77
160_40_5,20.38,22.02,56.77,20.54,20.3,20.63,20.12,20.52,20.28,56.73,57.05,57.21,16.78,17.42,53.32,27.23,21.69
160_40_6,20.41,20.7,56.48,20.65,20.33,20.39,20.5,20.23,20.6,56.64,56.17,57.22,16.52,16.41,53.34,27.21,21.73
160_40_7,20.43,22.05,56.99,20.63,20.17,20.17,20.32,20.36,20.38,56.61,56.53,56.95,16.9,16.73,53.19,27.26,21.8
160_40_8,20.64,21.1,57.69,20.14,20.31,20.33,20.42,20.59,20.5,56.29,56.82,56.3,16.86,16.46,52.75,27.3,21.54
160_40_9,20.39,21.09,56.89,20.38,20.17,20.44,20.38,20.31,20.47,57.25,57.14,56.62,16.5,17.35,52.87,27.35,21.84
160_40_10,20.35,22.72,56.59,20.75,21.06,20.4,20.42,20.47,20.37,56.38,56.45,56.55,16.63,16.8,52.96,27.41,21.87
average,20.53,21.13,56.92,20.53,20.43,20.4,20.4,20.43,20.33,56.78,56.84,56.77,16.69,16.71,53.18,27.34,21.78
