,FTA-INS,FTA-INB,FTA-INV,FTA-SWP,FTA-ML,SA-INS,SA-INB,SA-INV,SA-SWP,SA-ML,SS-INS,SS-INB,SS-INV,SS-SWP,SS-ML,NEH,NEH-B
60_240_1,0.0392,0.0177,0.0354,0.0384,0.0371,0.0389,0.0137,0.0340,0.0376,0.0277,0.0384,0.0169,0.0348,0.0353,0.0259,0.1616,0.0451
60_240_2,0.0497,0.0181,0.0461,0.0540,0.0369,0.0481,0.0203,0.0454,0.0523,0.0416,0.0513,0.0225,0.0481,0.0478,0.0384,0.1747,0.0590
60_240_3,0.0437,0.0229,0.0412,0.0430,0.0344,0.0401,0.0162,0.0395,0.0420,0.0330,0.0461,0.0232,0.0404,0.0415,0.0291,0.1791,0.0500
60_240_4,0.0427,0.0274,0.0416,0.0442,0.0361,0.0425,0.0268,0.0393,0.0382,0.0360,0.0446,0.0259,0.0417,0.0405,0.0315,0.1731,0.0493
60_240_5,0.0427,0.0199,0.0410,0.0440,0.0373,0.0420,0.0241,0.0393,0.0446,0.0318,0.0473,0.0214,0.0422,0.0444,0.0326,0.1771,0.0513
60_240_6,0.0362,0.0268,0.0372,0.0377,0.0364,0.0363,0.0250,0.0351,0.0389,0.0334,0.0392,0.0274,0.0391,0.0391,0.0342,0.1648,0.0481
60_240_7,0.0351,0.0208,0.0378,0.0317,0.0336,0.0318,0.0182,0.0370,0.0361,0.0269,0.0422,0.0176,0.0375,0.0369,0.0271,0.1479,0.0457
60_240_8,0.0462,0.0276,0.0433,0.0507,0.0401,0.0485,0.0224,0.0392,0.0454,0.0333,0.0514,0.0317,0.0460,0.0482,0.0384,0.1686,0.0592
60_240_9,0.0520,0.0227,0.0479,0.0527,0.0379,0.0473,0.0210,0.0471,0.0524,0.0383,0.0475,0.0293,0.0448,0.0439,0.0346,0.1778,0.0512
60_240_10,0.0522,0.0260,0.0509,0.0516,0.0365,0.0480,0.0268,0.0457,0.0541,0.0386,0.0504,0.0274,0.0470,0.0506,0.0387,0.1823,0.0618
150_150_1,0.0778,0.0287,0.0762,0.0650,0.0550,0.0801,0.0254,0.0777,0.0570,0.0562,0.0404,0.0179,0.0373,0.0401,0.0263,0.0935,0.0486
150_150_2,0.0776,0.0233,0.0740,0.0626,0.0493,0.0768,0.0224,0.0724,0.0651,0.0408,0.0326,0.0117,0.0316,0.0323,0.0187,0.0924,0.0358
150_150_3,0.0790,0.0248,0.0764,0.0614,0.0519,0.0749,0.0242,0.0739,0.0560,0.0420,0.0336,0.0137,0.0323,0.0329,0.0218,0.0760,0.0377
150_150_4,0.0799,0.0293,0.0727,0.0599,0.0510,0.0737,0.0220,0.0725,0.0564,0.0439,0.0382,0.0180,0.0363,0.0384,0.0231,0.0676,0.0448
150_150_5,0.0893,0.0386,0.0842,0.0731,0.0632,0.0873,0.0409,0.0811,0.0676,0.0560,0.0513,0.0237,0.0497,0.0525,0.0349,0.0892,0.0559
150_150_6,0.0740,0.0197,0.0711,0.0563,0.0478,0.0730,0.0206,0.0703,0.0535,0.0423,0.0281,0.0142,0.0269,0.0270,0.0187,0.0775,0.0301
150_150_7,0.0729,0.0247,0.0672,0.0570,0.0490,0.0704,0.0253,0.0691,0.0591,0.0499,0.0337,0.0158,0.0317,0.0323,0.0241,0.0898,0.0398
150_150_8,0.0742,0.0195,0.0689,0.0546,0.0429,0.0679,0.0202,0.0644,0.0526,0.0452,0.0324,0.0106,0.0318,0.0312,0.0209,0.0636,0.0382
150_150_9,0.0856,0.0297,0.0828,0.0640,0.0635,0.0815,0.0293,0.0834,0.0602,0.0577,0.0453,0.0232,0.0413,0.0440,0.0340,0.1126,0.0522
150_150_10,0.0715,0.0181,0.0665,0.0554,0.0415,0.0734,0.0176,0.0692,0.0596,0.0474,0.0401,0.0111,0.0356,0.0353,0.0179,0.0552,0.0515
240_60_1,0.0497,0.0171,0.0369,0.0259,0.0246,0.0480,0.0118,0.0344,0.0276,0.0255,0.0160,0.0110,0.0160,0.0159,0.0136,0.1094,0.0170
240_60_2,0.0423,0.0138,0.0343,0.0241,0.0226,0.0388,0.0118,0.0283,0.0225,0.0167,0.0172,0.0093,0.0173,0.0157,0.0126,0.0186,0.0197
240_60_3,0.0391,0.0114,0.0329,0.0245,0.0185,0.0391,0.0097,0.0291,0.0232,0.0180,0.0107,0.0070,0.0103,0.0104,0.0094,0.0064,0.0111
240_60_4,0.0432,0.0128,0.0355,0.0275,0.0196,0.0437,0.0113,0.0355,0.0254,0.0171,0.0133,0.0094,0.0136,0.0138,0.0113,0.0058,0.0178
240_60_5,0.0364,0.0130,0.0292,0.0221,0.0176,0.0369,0.0119,0.0288,0.0173,0.0140,0.0126,0.0096,0.0123,0.0117,0.0111,0.0197,0.0139
240_60_6,0.0449,0.0167,0.0347,0.0310,0.0283,0.0430,0.0148,0.0354,0.0313,0.0282,0.0237,0.0138,0.0239,0.0233,0.0172,0.0849,0.0242
240_60_7,0.0673,0.0397,0.0578,0.0483,0.0506,0.0665,0.0408,0.0617,0.0508,0.0445,0.0430,0.0381,0.0430,0.0420,0.0411,0.0000,0.0454
240_60_8,0.0431,0.0107,0.0328,0.0237,0.0200,0.0417,0.0086,0.0315,0.0243,0.0195,0.0120,0.0071,0.0121,0.0130,0.0103,0.0229,0.0127
240_60_9,0.0448,0.0135,0.0347,0.0245,0.0211,0.0421,0.0116,0.0338,0.0252,0.0209,0.0160,0.0099,0.0162,0.0158,0.0115,0.0101,0.0167
240_60_10,0.0410,0.0149,0.0309,0.0266,0.0229,0.0392,0.0108,0.0297,0.0203,0.0198,0.0167,0.0117,0.0169,0.0164,0.0155,0.0000,0.0174
average,0.0558,0.0217,0.0507,0.0445,0.0376,0.0540,0.0202,0.0495,0.0432,0.0349,0.0339,0.0177,0.0319,0.0324,0.0242,0.0934,0.0384
