,SPS-FTA-INB,SPS-SA-INB,SPS-SS-INB,FTA-INS,FTA-INV,FTA-SWP,SA-INS,SA-INV,SA-SWP,SS-INS,SS-INV,SS-SWP,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
250_250_4,0.0239,0.0275,0.0102,0.0487,0.0401,0.0353,0.0458,0.0392,0.0353,0.0107,0.0117,0.012,0.0341,0.0297,0.0107,0,0.0159
250_250_5,0.0269,0.0298,0.0161,0.0461,0.0387,0.0354,0.0423,0.0388,0.0333,0.0196,0.0188,0.0203,0.0335,0.028,0.0171,0.0372,0.0225
250_250_6,0.0629,0.0562,0.0431,0.0794,0.0761,0.0701,0.0792,0.0749,0.0704,0.0428,0.0434,0.0436,0.0683,0.066,0.044,0,0.0528
250_250_7,0.0258,0.0247,0.0146,0.0509,0.0413,0.0395,0.0482,0.0428,0.0369,0.0161,0.0151,0.0165,0.0346,0.0344,0.0167,0.0452,0.0232
250_250_8,0.0266,0.0191,0.0092,0.0433,0.0366,0.0297,0.0399,0.034,0.0305,0.0097,0.0105,0.0104,0.0328,0.0242,0.0089,0.034,0.0175
250_250_9,0.0466,0.0461,0.0316,0.0635,0.0546,0.0526,0.0599,0.0564,0.0519,0.032,0.0326,0.0333,0.053,0.0482,0.0321,0,0.0427
250_250_10,0.0232,0.023,0.0101,0.0454,0.041,0.0314,0.0433,0.0415,0.0309,0.0077,0.008,0.0078,0.0351,0.0292,0.0084,0.0106,0.017
400_100_1,0.0428,0.0475,0.0129,0.0792,0.0704,0.0699,0.0792,0.0699,0.0693,0.0188,0.0188,0.0187,0.0613,0.0617,0.0135,0.0266,0.0208
400_100_2,0.0366,0.0325,0.0078,0.0668,0.0577,0.0567,0.0671,0.0555,0.0554,0.01,0.01,0.01,0.0526,0.0448,0.0089,0.0154,0.0098
400_100_3,0.0363,0.0306,0.0075,0.0659,0.0575,0.0573,0.0655,0.0564,0.0556,0.0079,0.0079,0.0078,0.0564,0.0486,0.0066,0.0149,0.0094
400_100_4,0.0302,0.03,0.0149,0.0697,0.0599,0.0632,0.0689,0.061,0.0637,0.0182,0.0182,0.0182,0.0481,0.0542,0.018,0.0312,0.012
400_100_5,0.046,0.0477,0.021,0.0866,0.0763,0.0774,0.0853,0.0777,0.0751,0.0266,0.0266,0.0266,0.0715,0.0662,0.0227,0.0291,0.0272
400_100_6,0.0401,0.0392,0.0099,0.0762,0.0586,0.0615,0.0722,0.0588,0.0597,0.0155,0.0157,0.0157,0.0561,0.0562,0.0134,0.0198,0.014
400_100_7,0.0382,0.0382,0.0081,0.0705,0.061,0.0605,0.0684,0.0605,0.0602,0.0124,0.0124,0.0124,0.0597,0.0541,0.0094,0.0166,0.0139
400_100_8,0.0488,0.0443,0.0104,0.0804,0.0695,0.0696,0.0795,0.0678,0.0676,0.0141,0.0141,0.0141,0.0668,0.0595,0.0134,0.0286,0.0174
400_100_9,0.0436,0.0376,0.0104,0.0776,0.0632,0.0631,0.0751,0.0621,0.0643,0.0128,0.0128,0.0128,0.0589,0.0562,0.011,0,0.0166
400_100_10,0.0455,0.0425,0.0058,0.0781,0.0633,0.0642,0.0758,0.0632,0.0655,0.0068,0.0068,0.0068,0.0632,0.0615,0.0068,0.01,0.0158
average,0.0333,0.0317,0.0204,0.0691,0.0588,0.0577,0.0671,0.0578,0.0571,0.0333,0.0304,0.0319,0.0508,0.047,0.0243,0.0687,0.0324
