,SPS-FTA-INB,SPS-SA-INB,SPS-SS-INB,FTA-INS,FTA-INV,FTA-SWP,SA-INS,SA-INV,SA-SWP,SS-INS,SS-INV,SS-SWP,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
100_400_1,0.021,0.0194,0.0252,0.0686,0.0554,0.0551,0.0631,0.0521,0.0534,0.0563,0.0428,0.0497,0.0412,0.0393,0.0343,0.1642,0.0434
100_400_2,0.0322,0.0295,0.0359,0.0912,0.0757,0.0817,0.0874,0.0759,0.0767,0.0785,0.0675,0.0695,0.0646,0.0558,0.0448,0.1993,0.065
100_400_3,0.028,0.0241,0.0332,0.0842,0.0686,0.0723,0.0821,0.0659,0.0703,0.0764,0.0643,0.069,0.0529,0.049,0.0475,0.1267,0.0595
100_400_4,0.0303,0.0261,0.0386,0.0784,0.0669,0.0695,0.0818,0.0682,0.0694,0.0695,0.0598,0.0661,0.0513,0.0513,0.0475,0.196,0.0551
100_400_5,0.0164,0.0126,0.0195,0.0636,0.0497,0.056,0.0624,0.0513,0.0527,0.0562,0.0477,0.0505,0.0349,0.0334,0.0313,0.1795,0.038
100_400_6,0.0288,0.0259,0.0352,0.0821,0.0673,0.0693,0.0799,0.066,0.0668,0.0677,0.0602,0.0646,0.0523,0.0568,0.0445,0.1944,0.0633
100_400_7,0.0231,0.0217,0.0283,0.0753,0.061,0.0599,0.0655,0.0585,0.0589,0.0602,0.0539,0.0576,0.0489,0.0433,0.0375,0.1705,0.0498
100_400_8,0.0192,0.0196,0.0253,0.0739,0.06,0.0582,0.0699,0.0589,0.0613,0.0586,0.0499,0.0533,0.0482,0.0379,0.033,0.1726,0.0462
100_400_9,0.0205,0.0136,0.0251,0.0705,0.0625,0.0628,0.0735,0.0571,0.0619,0.0602,0.0501,0.0551,0.0468,0.0416,0.0327,0.1466,0.0517
100_400_10,0.0234,0.0203,0.0282,0.0696,0.0621,0.0608,0.073,0.0627,0.0658,0.0569,0.0493,0.0556,0.051,0.0469,0.0325,0.1834,0.048
250_250_1,0.0438,0.044,0.0293,0.0703,0.062,0.0539,0.0661,0.0571,0.0565,0.0293,0.031,0.0294,0.0537,0.0469,0.0304,0,0.0402
250_250_2,0.0416,0.0461,0.0321,0.066,0.0592,0.0553,0.0634,0.058,0.0541,0.0346,0.0367,0.0357,0.056,0.0507,0.0363,0,0.0451
250_250_3,0.0253,0.0312,0.0125,0.052,0.0481,0.0378,0.0497,0.0418,0.0404,0.0116,0.0161,0.0147,0.0368,0.0334,0.0134,0.0072,0.0173
